Date,Open,High,Low,Close,Adj Close,Volume
7/10/2018,46200,46550,46100,46300,45530.01953,10528665
7/11/2018,46400,46450,45400,46000,45235.01172,11224077
7/12/2018,45900,46250,45450,45500,44743.32813,11828104
7/13/2018,45800,46500,45750,46500,45726.69531,11543389
7/16/2018,46800,46800,46000,46050,45284.17969,7678719
7/17/2018,46150,46200,45600,45850,45087.50781,8892953
7/18/2018,46700,47200,46450,46550,45775.86328,10952645
7/19/2018,47050,47200,46600,46900,46120.04297,9880128
7/20/2018,47000,47600,46700,47450,46660.89844,10474547
7/23/2018,47100,47200,46150,46500,45726.69531,10823782
7/24/2018,46350,46600,45950,46150,45382.51563,8261363
7/25/2018,46250,46550,45900,46150,45382.51563,7222471
7/26/2018,46100,47000,46000,46900,46120.04297,7374946
